myosd_id,label,place_name,start_lat,start_lon,River_basin_Sea
377,MYOSD377_2016-06_1,"Briescht, Spree",52.1055361,14.1202695,Elbe
378,MYOSD378_2016-06_1,"Oldenburg, Hunte",53.14054467,8.22064697,Weser
382,MYOSD382_2016-06_1,"Helgoland, Hafen",54.1785361,7.8882889,North Sea
383,MYOSD383_2016-06_1,"Langballig, Flensburger F_rde",54.82282223,9.656868093,Baltic Sea
384,MYOSD384_2016-06_1,Hannover,52.3545084,9.7204752,Weser
385,MYOSD385_2016-06_1,"Nordstrand, Borkum",53.60893412,6.683955908,North Sea
387,MYOSD387_2016-06_1,Lemwerder,53.1607786,8.623481,Weser
388,MYOSD388_2016-06_1,Neubrandenburg,53.55225458,13.24428644,Warnow/Peene
389,MYOSD389_2016-06_1,"Barendorf, Ostsee",53.98154334,10.96825399,Baltic Sea
390,MYOSD390_2016-06_1,Dresden,51.03935621,13.70600123,Elbe
391,MYOSD391_2016-06_1,"G_ttingen, Leine",51.58461804,9.914970672,Weser
392,MYOSD392_2016-06_1,Buhne beim Borssumer Siel,53.33316722,7.225023508,Ems
393,MYOSD393_2016-06_1,Bille,53.544326,10.052725,Elbe
394,MYOSD394_2016-06_1,"Elbe, Freiburg, Hafenpriel",53.83622401,9.311657333,Elbe
397,MYOSD397_2016-06_1,"Flensburger F_rde, Holnis Spitze",54.87673044,9.613649407,Baltic Sea
398,MYOSD398_2016-06_1,Heikendorf Strand,54.37987337,10.19590681,Baltic Sea
400,MYOSD400_2016-06_1,Kieler F_rde,54.366,10.196,Baltic Sea
401,MYOSD401_2016-06_1,"Spree, Stralau",52.491069,13.478343,Elbe
403,MYOSD403_2016-06_1,"Nordermeldorf, Nordsee",54.1106355,8.9399405,North Sea
404,MYOSD404_2016-06_1,"Sch_nberger Strand Mole, Ostsee",54.415933,10.41559696,Baltic Sea
405,MYOSD405_2016-06_1,"Berlin, Spree",52.524351,13.325481,Elbe
406,MYOSD406_2016-06_1,Borssumer Sieltor Emden,53.3331324,7.2248098,Ems
408,MYOSD408_2016-06_1,"Havel, Ketzin",52.463688,12.854525,Elbe
409,MYOSD409_2016-06_1,"Amrum, F_hranleger Wittd•À_n",54.6292497,8.397573358,North Sea
410,MYOSD410_2016-06_1,"Fehmarn, Ostsee",54.30221308,11.09759311,Baltic Sea
413,MYOSD413_2016-06_1,"Berlin, Spree",52.522287,13.395942,Elbe
414,MYOSD414_2016-06_1,"Nassauhafen, Nordsee",53.5149985,8.1510363,North Sea
415,MYOSD415_2016-06_1,Kringel Helgoland,54.17735606,7.886399903,North Sea
416,MYOSD416_2016-06_1,Wuhle in Berlin,52.52357164,13.57763633,Elbe
417,MYOSD417_2016-06_1,winningmay - Schlei/F•À_singer Au,54.53196064,9.626760632,Schlei/Trave
418,MYOSD418_2016-06_1,"Zeuthener See, Dahme",52.338165,13.638424,Elbe
419,MYOSD419_2016-06_1,"Amrum, vor FFK-Zeltplatz",54.6223841,8.344901651,North Sea
420,MYOSD420_2016-06_1,Wehrberger Warte,52.11165949,9.346274016,Weser
421,MYOSD421_2016-06_1,Schob•À_ll Steg am Camping,54.50755,8.993351,North Sea
422,MYOSD422_2016-06_1,Campen Schillbank Nord,53.41095362,7.012644433,North Sea
423,MYOSD423_2016-06_1,Nessmersiel,53.68325197,7.360248876,North Sea
424,MYOSD424_2016-06_1,Norderney (Nordstrand - H_he Krankenhaus),53.718933,7.172599,North Sea
425,MYOSD425_2016-06_1,Teltow-Kanal H_he Teltow-Seehof,52.410902,13.28721,Elbe
426,MYOSD426_2016-06_1,"Norddorf, Nordsee",54.687913,8.320918,North Sea
427,MYOSD427_2016-06_1,"Sylt, s•À_dlich Rantumbecken",54.861935,8.328451,North Sea
428,MYOSD428_2016-06_1,Loogbad Juist,53.67783482,6.98519538,North Sea
429,MYOSD429_2016-06_1,"Wienbeck, Osterholz-Scharmbeck",53.21375,8.78735,Weser
430,MYOSD430_2016-06_1,Husum Dockkoog Badestelle,54.479973,9.003469,North Sea
431,MYOSD431_2016-06_1,"Sylt, Rantum, Hafenstra_e",54.85700057,8.304319941,North Sea
433,MYOSD433_2016-06_1,Kanal Havel,52.39281833,13.03600667,Elbe
434,MYOSD434_2016-06_1,"Cappel-Neufeld, Nordsee",53.762543,8.541946,North Sea
435,MYOSD435_2016-06_1,"Pellworm, Osten alter Hafen bei Tammensiel",54.5207738,8.69135,North Sea
436,MYOSD436_2016-06_1,"Havel, Berlin",52.587567,13.2203497,Elbe
438,MYOSD438_2016-06_1,"Scharmbecker Bach, Osterholz-Scharmbeck",53.214233,8.788467,Weser
440,MYOSD440_2016-06_1,"Norderoog, N•À_ der Warft, N_he Wattenweg Hooge-Norderoog",54.526068,8.468787,North Sea
441,MYOSD441_2016-06_1,"Amrum, _stliche Amrum Odde",54.71030381,8.361127663,North Sea
442,MYOSD442_2016-06_1,"Habel, Anleger",54.636472,8.766517127,North Sea
443,MYOSD443_2016-06_1,Leyh_rn Spitze,53.53462,7.03375,North Sea
444,MYOSD444_2016-06_1,Emden,53.32221,7.311944,Ems
445,MYOSD445_2016-06_1,"Friedrichskoog, Trischendamm",54.0218566,8.8734982,North Sea
446,MYOSD446_2016-06_1,Dangast,53.44616881,8.1057096,North Sea
447,MYOSD447_2016-06_1,"Norderoogsand, Mitte Westk•À_ste",53.532222,8.470278,North Sea
448,MYOSD448_2016-06_1,Hauener P•À_tten,53.50051,7.05285,Ems
449,MYOSD449_2016-06_1,Eckwarderh_rne,53.5204986,8.2268333,North Sea
450,MYOSD450_2016-06_1,"Nord-Ostseekanal, Holtenau",54.367163,10.132116,Schlei/Trave
451,MYOSD451_2016-06_1,Elbe,53.555998,9.8040602,Elbe
452,MYOSD452_2016-06_1,Elmshorn,53.755375,9.667145,Elbe
453,MYOSD453_2016-06_1,"Halbinsel Pichelswerder,Havel",52.503031,13.199586,Elbe
454,MYOSD454_2016-06_1,Ausfluss des M•À_hlenbachs in die Kieler F_rde,54.2807,10.2659,Schlei/Trave
456,MYOSD456_2016-06_1,"Op'n Bulln, Elbe",53.555998,9.804002,Elbe
457,MYOSD457_2016-06_1,"Elbe, Op•À_n Bulln",53.5559852,9.8045549,Elbe
459,MYOSD459_2016-06_1,Elbe Hafenmuseum Hansa-Hafen,53.52586714,10.00126566,Elbe
460,MYOSD460_2016-06_1,"Bensersiel, Strand",53.7688977,7.816262628,North Sea
462,MYOSD462_2016-06_1,"Kalifornien, Ostsee",54.4278996,10.37855825,Baltic Sea
463,MYOSD463_2016-06_1,Havel,52.6909199,13.245961,Elbe
464,MYOSD464_2016-06_1,Boddensee Birkenwerder,52.69627,13.284942,Elbe/Lake
466,MYOSD466_2016-06_1,Warnow,54.078092,12.153665,Warnow/Peene
469,MYOSD469_2016-06_1,"Rostock, Gerberbruch",54.08866171,12.15314337,Warnow/Peene
472,MYOSD472_2016-06_1,Caputher Gem•À_nde,52.3505846,13.00603137,Elbe
473,MYOSD473_2016-06_1,"Hamburg Wittenbergen Unterfeuer, Elbe",53.563817,9.750467,Elbe
474,MYOSD474_2016-06_1,Werse bei Drensteinfurt,51.798236,7.745097,Ems
475,MYOSD475_2016-06_1,"B•À_sumer Deichhausen, Nordsee",54.124649,8.875611,North Sea
476,MYOSD476_2016-06_1,Lingen Ems,52.515116,7.2958318,Ems
477,MYOSD477_2016-06_1,Schleuse Kukelorum,53.44993338,7.450953007,Ems
479,MYOSD479_2016-06_1,Greifswalder Bodden,54.09563706,13.45640609,Baltic Sea
480,MYOSD480_2016-06_1,Peene,53.92874939,13.34217357,Warnow/Peene
482,MYOSD482_2016-06_1,"Pichelswerder, Havel",52.501417,13.190917,Elbe
483,MYOSD483_2016-06_1,"Kleiner Weser, Bremen",53.07359,8.801497,Weser
485,MYOSD485_2016-06_1,"Ilmenau Medingen, Niedersachsen",53.0913351,10.5690573,Elbe
486,MYOSD486_2016-06_1,"Alster, Hamburg Dubenstadt",53.70424343,10.11794678,Elbe
487,MYOSD487_2016-06_1,F_rde Schusterkate,54.83184828,9.419993581,Baltic Sea
488,MYOSD488_2016-06_1,"Hetlinger Binnenelbe, zwischen Hetlingen und Wedel, nahe F_hrmannssand",53.583517,9.667667,Elbe
489,MYOSD489_2016-06_1,"Berlin, Oberhavel",52.5575591,13.2244536,Elbe
490,MYOSD490_2016-06_1,Malte Stoye,53.87375681,8.706300677,North Sea
491,MYOSD491_2016-06_1,"Weser, Beverungen",51.649979,9.374253,Weser
492,MYOSD492_2016-06_1,Flensburg,54.81801504,9.426273638,Baltic Sea
493,MYOSD493_2016-06_1,Urban Hafen Berlin,52.49587889,13.40741758,Elbe
494,MYOSD494_2016-06_1,Lanker See,54.219663,10.283574,Schlei/Trave/Lake
495,MYOSD495_2016-06_1,"Saalfeld, Saale",50.651967,11.363931,Elbe
496,MYOSD496_2016-06_1,"Kienitz, Oder",52.679685,14.434726,Oder
498,MYOSD498_2016-06_1,"Bremen, Schlachte Wesser",53.078182,8.7984547,Weser
501,MYOSD501_2016-06_1,Weser,51.42706,9.639067,Weser
504,MYOSD504_2016-06_1,Berlin Oberspree,52.45395767,13.55024192,Elbe
505,MYOSD505_2016-06_1,Weser,51.817213,9.42581,Weser
507,MYOSD507_2016-06_1,"M•À_hlenau, Spielplatz Pinneberg",53.6557457,9.7916424,Elbe
510,MYOSD510_2016-06_1,"Birkenwerder, Briese",52.685556,13.27,Elbe
511,MYOSD511_2016-06_1,Meppen Ems,52.69054,7.27866,Ems
512,MYOSD512_2016-06_1,Bremen Europahafen,53.119251,8.730364,Weser
517,MYOSD517_2016-06_1,"Chemnitz Uferstrand, Apollobr•À_cke",50.825493,12.919766,Elbe
518,MYOSD518_2016-06_1,Alte Aller / M•À_ndung Weser,52.99571842,9.08078755,Weser
520,MYOSD520_2016-06_1,Quer ab Schleim•À_ndung,54.680333,10.25275,Baltic Sea
