ena_acc	biosample_acc	bioarchive_code	description	site_name	objective	platform	device	osd_id	label	start_lat	start_lon	stop_lat	stop_lon	water_depth	local_date	local_start	local_end	start_date_time_utc	end_date_time_utc	iho_label	mrgid	protocol	water_temperature	salinity	biome	biome_id	feature	feature_id	material	material_id	ph	phosphate	nitrate	carbon_organic_particulate	nitrite	carbon_organic_dissolved_doc	nano_microplankton	downward_par	conductivity	primary_production_isotope_uptake	primary_production_oxygen	dissolved_oxygen_concentration	nitrogen_organic_particulate_pon	meso_macroplankton	bacterial_production_isotope_uptake	nitrogen_organic_dissolved_don	ammonium	silicate	bacterial_production_respiration	turbidity	fluorescence	pigment_concentration	picoplankton_flow_cytometry	dist_coast_m	dist_coast_iso3_code	longhurst_code	longhurst_biome	longhurst_label	longhurst_dist_degrees	lme_name	lme_dist_m	osd_meow_ecoregion	meow_ecoregion	meow_province	meow_realm
ERS667579	SAMEA3275561	ABOKL82	Surface water from the coastal Lagoon Ria Formosa. Five samples were taken foe amplicon and metagenomic sequencing. 	Ria Formosa Lagoon	Comparative study of microbial diversity and function in ocean (site OSD153) versus coastal lagoon (site OSD81) waters representing unique ecosystems located in southern Portugal. These samples make part of a larger research initiative that will tackle the microbial biogeography along the Portuguese coast, extending to its oceanic archipelagos (i.e. Madeira and Azores).	Boat	5L Plastic water Gallons, Disinfected	81	OSD81_2014-06-21_0m_NPL022	37.005053	-7.973119	37.005053	-7.973119	0	21/06/14	10:58:00+00	11:20:00+00	2014-06-21T10:58:00Z	2014-06-21T11:20:00Z	North Atlantic Ocean	1912	NPL022	22.2	34.3	marine biome	447	surface water	2042	sea water	2149	7.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.86	NA	NA	NA	NA	1.154	NA	NA	NA	NA	NA	NA	407	PRT	CNRY	Coastal	Canary Coastal Province (EACB)	0	Iberian Coastal	0	osd_er_7	South European Atlantic Shelf	Lusitanian	Temperate Northern Atlantic
ERS667577	SAMEA3275559	ABOKM74	freshwater lake	Etoliko Lagoon	Dataset on microbial diversity and function from a unique environment such as Etoliko Lagoon, Greece	Research Vessel	5L Niskin Bottle	90	OSD90_2014-06-21_2m_NPL022	38.48435	21.31689	38.48435	21.31689	2	21/06/14	10:00:00+02	13:00:00+02	2014-06-21T08:00:00Z	2014-06-21T11:00:00Z	Ionian Sea	3351	NPL022	26.29	15.09	freshwater lake biome	1000252	surface water	2042	fresh water	2011	8.36	0.0116	0.016	NA	0.0033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.043	NA	NA	0.1	NA	3.75	NA	1083	GRC	MEDI	Westerlies	Mediterranean Sea, Black Sea Province	0.065876801	Mediterranean Sea	0	osd_er_4	Ionian Sea	Mediterranean Sea	Temperate Northern Atlantic
ERS667576	SAMEA3275558	ABOKM18	water samples	Oualidiya	Exploring diversity	ship	bottle 5L	91	OSD91_2014-06-21_2m_NPL022	32.74675	-9.036667	32.74675	-9.036667	2	21/06/14	11:00:00+00	12:00:00+00	2014-06-21T11:00:00Z	2014-06-21T12:00:00Z	North Atlantic Ocean	1912	NPL022	19	27.24	neritic mesopelagic zone biome	1000043	surface water	2042	coastal sea water	2150	8.15	NA	107.93	NA	1e-4	NA	NA	NA	39600	NA	NA	0.7	NA	NA	NA	NA	NA	0.5	NA	3	NA	NA	NA	0	MAR	CNRY	Coastal	Canary Coastal Province (EACB)	0.005750083	Canary Current	328	osd_er_1	Saharan Upwelling	Lusitanian	Temperate Northern Atlantic
ERS667658	SAMEA3275637	ABOKL81	From the sample water, five sterivex filters and five 47mm 0.8um PC filters were collected. Volumes from 4-10L. 	SPOTS	The San Pedro Ocean Time-series station, or SPOT, is a long term study of the microbial and biogeochemical cycles in the San Pedro Basin off Southern California. Sampling for Ocean Sampling Day in June 2014 was performed at the SPOT station to maintain continuity and a broader ecological context for the solstice day. Many marine sites around the globe conducted sampling within this time frame of several days.	research vessel, R/V Yellowfin	5 gallon bucket	9	OSD9_2014-06-18_0m_NPL022	33.55	-118.4	33.55	-118.4	0	18/06/14	20:18:00-08	20:27:00-08	2014-06-18T04:18:00Z	2014-06-18T04:27:00Z	North Pacific Ocean	1908	NPL022	19.2	33.56	oceanic epipelagic zone biome	1000035	marine wind mixed layer	1000061	sea water	2149	NA	NA	NA	NA	0	NA	1269916760	2058.448	4.54	NA	NA	222.449	NA	NA	0.00476	NA	0	NA	3.57	NA	0.03	NA	NA	13383	USA	CCAL	Coastal	California Upwelling Coastal Province	0	California Current	0	osd_er_2	Southern California Bight	Warm Temperate Northeast Pacific	Temperate Northern Pacific
ERS667575	SAMEA3275557	ABOKM67	water samples	Casablanca	Exploring diversity	ship	bottle 5L	92	OSD92_2014-06-21_2m_NPL022	33.583917	-7.700639	33.583917	-7.700639	2	21/06/14	11:00:00+00	12:00:00+00	2014-06-21T11:00:00Z	2014-06-21T12:00:00Z	North Atlantic Ocean	1912	NPL022	24	30.75	neritic mesopelagic zone biome	1000043	surface water	2042	coastal sea water	2150	8.15	NA	105.01	NA	1e-4	NA	NA	NA	44700	NA	NA	0.78	NA	NA	NA	NA	NA	0.5	NA	3.75	NA	NA	NA	0	MAR	CNRY	Coastal	Canary Coastal Province (EACB)	0	Canary Current	0	osd_er_7	Saharan Upwelling	Lusitanian	Temperate Northern Atlantic
ERS667574	SAMEA3275556	ABOKM61	water samples	Eljadida	Exploring diversity	ship	bottle 5L	93	OSD93_2014-06-21_2m_NPL022	33.259611	-8.499222	33.259611	-8.499222	2	21/06/14	11:00:00+00	12:00:00+00	2014-06-21T11:00:00Z	2014-06-21T12:00:00Z	North Atlantic Ocean	1912	NPL022	19	32.88	neritic mesopelagic zone biome	1000043	surface water	2042	coastal sea water	2150	8.36	NA	111.76	NA	1e-4	NA	NA	NA	478e3	NA	NA	0.78	NA	NA	NA	NA	NA	0.5	NA	8.61	NA	NA	NA	49	MAR	CNRY	Coastal	Canary Coastal Province (EACB)	0	Canary Current	0	osd_er_1	Saharan Upwelling	Lusitanian	Temperate Northern Atlantic
ERS667573	SAMEA3275555	ABOKM24	water samples	Saidia Marina	exploring diversity	ship	bottle 5L	94	OSD94_2014-06-21_0m_NPL022	35.086353	-2.214658	35.086353	-2.214658	0	21/06/14	10:30:00+01	11:00:00+01	2014-06-21T09:30:00Z	2014-06-21T10:00:00Z	Alboran Sea	3324	NPL022	23.6	31	mediterranean sea biome	1000047	surface water	2042	coastal sea water	2150	8.01	0.27	0.15	1	0.02	252	NA	NA	51.37	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54	NA	0	MAR	MEDI	Westerlies	Mediterranean Sea, Black Sea Province	0	Mediterranean Sea	0	osd_er_2	Alboran Sea	Mediterranean Sea	Temperate Northern Atlantic
ERS667572	SAMEA3275554	ABOKM49	none	Singapore Indigo_V	none	none	Bucket	95	OSD95_2014-06-21_0m_NPL022	1.2685	103.9168	1.2726	103.9206	0	21/06/14	16:25:00+08	16:41:00+08	2014-06-21T08:25:00Z	2014-06-21T08:41:00Z	Singapore Strait	4336	NPL022	31	31.03	marine biome	447	surface water	2042	sea water	2149	7.9	NA	NA	NA	NA	NA	NA	NA	53.3	NA	NA	171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3040	SGP	SUND	Coastal	Sunda-Arafura Shelves Province	0	South China Sea	0	osd_er_1	Malacca Strait	Sunda Shelf	Central Indo-Pacific
ERS667570	SAMEA3275552	ABOKM14	30 L collected	Faial Azores	Water sampling for surface microbial community characterization in Faial-Pico channel, a highly dynamic region influenced by tides charactherized by semidiurnal periodocity with maximum values during falling sea level. SST varies from 16ÂºC (winter/spring months) to 24ÂºC (summer/autumn months) with 0,1mg/m3 Chla (summer /autumn months) to about 2mg/m3 (winter/spring months)	"Semi-Inflatable Vessel ""Pintado"""	bucket	97	OSD97_2014-06-21_0.5m_NPL022	38.5297	-28.601778	38.5297	-28.601778	0.5	21/06/14	11:35:00-01	12:18:00-01	2014-06-21T12:35:00Z	2014-06-21T13:18:00Z	North Atlantic Ocean	1912	NPL022	16.9	35.6	oceanic epipelagic zone biome	1000035	surface water	2042	coastal sea water	2150	8.082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1623	PRT	NASE	Westerlies	N. Atlantic Subtropical Gyral Province (East) (STGE)	0	NA	NA	osd_er_2	Azores Canaries Madeira	Lusitanian	Temperate Northern Atlantic
ERS667569	SAMEA3275551	ABOKM60	surface water	Sao Jorge Azores	Water sample from dock in Urzelina for microbial community	from shore	bucket	98	OSD98_2014-06-21_0.5m_NPL022	38.64	-28.13	38.64	-28.13	0.5	21/06/14	11:40:00-01	11:40:10-01	2014-06-21T12:40:00Z	2014-06-21T12:40:10Z	North Atlantic Ocean	1912	NPL022	18.7	35.6	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	179	PRT	NASE	Westerlies	N. Atlantic Subtropical Gyral Province (East) (STGE)	0.0127227	NA	NA	osd_er_2	Azores Canaries Madeira	Lusitanian	Temperate Northern Atlantic
ERS667567	SAMEA3275549	ABOKM35	We have collected a total of 100 liters of seawaters. It took ~ 1 hr and the water was stored at RT in acid washed 20 L PC bottles in the dark until we have reached the laboratory.	C1	C1 is an Italian LTER site for the North Adriatic Sea (Italy). The OSD project will enrich the present time series data set with the state-of-the-art sequencing information on the microbial community	Research Vessel: VF RAFF 07	5 L Niskin Bottle, PAR, CTD	99	OSD99_2014-06-21_1m_NPL022	45.700920000000004	13.71003	45.700920000000004	13.71003	1	21/06/14	11:24:00+01	12:31:00+01	2014-06-21T10:24:00Z	2014-06-21T11:31:00Z	Adriatic Sea	3314	NPL022	20.821	33.931	marine biome	447	surface water	2042	sea water	2149	8.27	0.012	2.321	116.4	0.051	116.4417	115e4	1432.95	47.278	NA	NA	208.31	27.81	10710.86	9.37	NA	0.547	3.496	NA	0.29	NA	0.49	NA	360	ITA	MEDI	Westerlies	Mediterranean Sea, Black Sea Province	0	Mediterranean Sea	0	osd_er_3	Adriatic Sea	Mediterranean Sea	Temperate Northern Atlantic
