Sample	barcode-sorting.total.reads	barcode-sorting.read.pairs.1	barcode-sorting.read.pairs.2	barcode-sorting.max.length	barcode-sorting.mean.length	barcode-sorting.min.length	adapter-clipping.total.reads	adapter-clipping.read.pairs.1	adapter-clipping.read.pairs.2	adapter-clipping.max.length	adapter-clipping.mean.length	adapter-clipping.min.length	primer-clipping.total.reads	primer-clipping.read.pairs.1	primer-clipping.read.pairs.2	primer-clipping.max.length	primer-clipping.mean.length	primer-clipping.min.length	read-merging.total.reads	read-merging.max.length	read-merging.mean.length	read-merging.min.length	quality-trimming.total.reads	quality-trimming.max.length	quality-trimming.mean.length	quality-trimming.min.length
Sample_Eu565F-Eu981R-OSD109	61986	30993	30993	291	290	290	61986	30993	30993	291	290	290	60828	30414	30414	271	269	269	30383	524	379	261	27579	490	369	100
Sample_Eu565F-Eu981R-OSD11-Dec-2012	89292	44646	44646	289	288	288	89292	44646	44646	289	288	288	87394	43697	43697	269	267	267	43672	460	378	252	41333	460	374	100
Sample_Eu565F-Eu981R-OSD11-Dec-2013	60130	30065	30065	291	290	290	60130	30065	30065	291	290	290	59308	29654	29654	271	269	269	29640	503	377	126	28051	503	374	100
Sample_Eu565F-Eu981R-OSD11-July-2013	93846	46923	46923	288	287	287	93846	46923	46923	288	287	287	92132	46066	46066	268	266	266	46043	443	378	257	43296	443	373	100
Sample_Eu565F-Eu981R-OSD110	53390	26695	26695	290	289	289	53390	26695	26695	290	289	289	52530	26265	26265	270	268	268	26248	523	378	295	24554	486	373	100
Sample_Eu565F-Eu981R-OSD111	129524	64762	64762	292	290	230	129524	64762	64762	292	290	220	128082	64041	64041	272	269	199	64030	463	372	179	55836	463	366	100
Sample_Eu565F-Eu981R-OSD113	48644	24322	24322	290	289	289	48644	24322	24322	290	289	289	47518	23759	23759	270	268	268	23740	489	378	258	22077	489	373	100
Sample_Eu565F-Eu981R-OSD114	6846	3423	3423	289	288	288	6846	3423	3423	289	288	288	6682	3341	3341	269	267	267	3341	388	378	311	3108	388	372	100
Sample_Eu565F-Eu981R-OSD115	29686	14843	14843	291	289	49	29686	14843	14843	291	289	49	29110	14555	14555	271	268	28	14552	475	378	85	12975	475	369	100
Sample_Eu565F-Eu981R-OSD116	61424	30712	30712	291	290	290	61424	30712	30712	291	290	290	60488	30244	30244	271	269	269	30219	527	376	279	27692	485	371	100
Sample_Eu565F-Eu981R-OSD117	86422	43211	43211	290	289	289	86422	43211	43211	290	289	289	84584	42292	42292	270	268	268	42263	509	376	295	39363	479	372	100
Sample_Eu565F-Eu981R-OSD118	95324	47662	47662	289	288	288	95324	47662	47662	289	288	288	93168	46584	46584	269	267	267	46545	496	377	268	43588	496	371	100
Sample_Eu565F-Eu981R-OSD122	62950	31475	31475	288	287	287	62950	31475	31475	288	287	287	61792	30896	30896	268	266	266	30881	463	379	267	28937	463	373	100
Sample_Eu565F-Eu981R-OSD123	50660	25330	25330	291	290	290	50660	25330	25330	291	290	290	49304	24652	24652	271	269	269	24634	501	376	266	22835	483	371	100
Sample_Eu565F-Eu981R-OSD124	88336	44168	44168	290	289	289	88336	44168	44168	290	289	289	86294	43147	43147	270	268	268	43118	515	377	278	40239	477	372	100
Sample_Eu565F-Eu981R-OSD125	66130	33065	33065	289	288	288	66130	33065	33065	289	288	288	64336	32168	32168	269	267	267	32157	522	376	298	30146	522	372	100
Sample_Eu565F-Eu981R-OSD126	88586	44293	44293	288	287	287	88586	44293	44293	288	287	287	86818	43409	43409	268	266	266	43390	444	377	301	40577	444	373	100
Sample_Eu565F-Eu981R-OSD127	60524	30262	30262	291	290	290	60524	30262	30262	291	290	290	59488	29744	29744	271	269	269	29721	469	378	290	27416	425	373	100
Sample_Eu565F-Eu981R-OSD128	119216	59608	59608	290	289	289	119216	59608	59608	290	289	289	116560	58280	58280	270	268	268	58240	444	376	290	54396	412	372	100
Sample_Eu565F-Eu981R-OSD129	58578	29289	29289	289	288	288	58578	29289	29289	289	288	288	57388	28694	28694	269	267	267	28676	483	379	281	26941	444	374	100
Sample_Eu565F-Eu981R-OSD13	73366	36683	36683	290	289	289	73366	36683	36683	290	289	289	71714	35857	35857	270	268	268	35828	443	377	282	33553	443	374	100
Sample_Eu565F-Eu981R-OSD130	99460	49730	49730	288	287	287	99460	49730	49730	288	287	287	97904	48952	48952	268	266	266	48926	511	377	284	45528	487	372	100
Sample_Eu565F-Eu981R-OSD131	41872	20936	20936	291	290	290	41872	20936	20936	291	290	290	40874	20437	20437	271	269	269	20422	444	376	279	19226	423	373	100
Sample_Eu565F-Eu981R-OSD132	43586	21793	21793	290	289	289	43586	21793	21793	290	289	289	42228	21114	21114	270	268	268	21098	516	377	79	19724	478	371	100
Sample_Eu565F-Eu981R-OSD133	77480	38740	38740	289	288	288	77480	38740	38740	289	288	288	75814	37907	37907	269	267	267	37880	517	377	271	35206	478	370	100
Sample_Eu565F-Eu981R-OSD14	77166	38583	38583	289	288	288	77166	38583	38583	289	288	288	74726	37363	37363	269	267	267	37336	491	377	257	35180	491	373	100
Sample_Eu565F-Eu981R-OSD141	83780	41890	41890	288	287	287	83780	41890	41890	288	287	287	81956	40978	40978	268	266	266	40952	488	379	290	38152	488	374	100
Sample_Eu565F-Eu981R-OSD142	21210	10605	10605	291	290	290	21210	10605	10605	291	290	290	20822	10411	10411	271	269	269	10403	522	377	306	9597	463	372	100
Sample_Eu565F-Eu981R-OSD143	98064	49032	49032	290	289	289	98064	49032	49032	290	289	151	95906	47953	47953	270	268	236	47930	524	377	216	45101	461	373	100
Sample_Eu565F-Eu981R-OSD144	48732	24366	24366	289	288	288	48732	24366	24366	289	288	288	47628	23814	23814	269	267	267	23798	512	378	293	22201	475	373	100
Sample_Eu565F-Eu981R-OSD145	112556	56278	56278	288	287	287	112556	56278	56278	288	287	287	110320	55160	55160	268	266	266	55127	487	378	273	51118	487	372	100
Sample_Eu565F-Eu981R-OSD146	45264	22632	22632	291	290	290	45264	22632	22632	291	290	290	44418	22209	22209	271	269	269	22199	458	376	270	20698	453	372	100
Sample_Eu565F-Eu981R-OSD147	106738	53369	53369	290	289	289	106738	53369	53369	290	289	269	104314	52157	52157	270	268	248	52106	525	377	228	48610	486	372	100
Sample_Eu565F-Eu981R-OSD148	46314	23157	23157	289	288	288	46314	23157	23157	289	288	288	45262	22631	22631	269	267	267	22620	503	378	290	21160	503	373	100
Sample_Eu565F-Eu981R-OSD149	84004	42002	42002	288	287	287	84004	42002	42002	288	287	287	82200	41100	41100	268	266	266	41071	488	372	298	38885	483	369	100
Sample_Eu565F-Eu981R-OSD15-50m-depth	39524	19762	19762	291	290	290	39524	19762	19762	291	290	200	38696	19348	19348	271	269	185	19332	516	378	79	18282	470	375	100
Sample_Eu565F-Eu981R-OSD15-surface	78996	39498	39498	288	287	287	78996	39498	39498	288	287	287	76692	38346	38346	268	266	266	38324	493	378	246	36089	493	373	100
Sample_Eu565F-Eu981R-OSD150	94566	47283	47283	291	290	290	94566	47283	47283	291	290	290	93016	46508	46508	271	269	269	46466	450	369	277	43132	424	366	100
Sample_Eu565F-Eu981R-OSD151	27942	13971	13971	290	289	289	27942	13971	13971	290	289	289	27350	13675	13675	270	268	268	13665	488	378	324	12738	405	373	100
Sample_Eu565F-Eu981R-OSD152-10m-depth	60804	30402	30402	291	290	290	60804	30402	30402	291	290	290	59766	29883	29883	271	269	269	29865	488	378	269	27455	445	373	100
Sample_Eu565F-Eu981R-OSD152-1m-depth	72300	36150	36150	289	288	288	72300	36150	36150	289	288	288	70938	35469	35469	269	267	267	35448	488	377	269	32972	488	371	100
Sample_Eu565F-Eu981R-OSD152-5m-depth	127164	63582	63582	288	287	287	127164	63582	63582	288	287	287	125306	62653	62653	268	266	266	62600	488	378	290	58475	452	373	100
Sample_Eu565F-Eu981R-OSD153	61170	30585	30585	290	289	289	61170	30585	30585	290	289	289	59776	29888	29888	270	268	268	29865	462	377	290	27838	440	373	100
Sample_Eu565F-Eu981R-OSD154	76912	38456	38456	289	288	288	76912	38456	38456	289	288	288	75442	37721	37721	269	267	267	37699	480	377	263	35650	480	372	100
Sample_Eu565F-Eu981R-OSD155-12-8m-depth	2768	1384	1384	291	290	290	2768	1384	1384	291	290	290	2714	1357	1357	271	269	269	1356	421	378	361	1238	421	372	100
Sample_Eu565F-Eu981R-OSD155-1m-depth	24680	12340	12340	288	287	287	24680	12340	12340	288	287	287	24146	12073	12073	268	266	266	12069	429	378	294	11418	420	373	100
Sample_Eu565F-Eu981R-OSD156-11-8m-depth	77520	38760	38760	289	288	288	77520	38760	38760	289	288	288	75882	37941	37941	269	267	267	37921	451	379	271	35755	426	374	100
Sample_Eu565F-Eu981R-OSD156-1m-depth	13238	6619	6619	290	289	289	13238	6619	6619	290	289	289	12960	6480	6480	270	268	268	6477	457	378	271	6050	439	373	100
Sample_Eu565F-Eu981R-OSD157-1m-depth	122458	61229	61229	288	287	287	122458	61229	61229	288	287	287	120180	60090	60090	268	266	266	60039	494	378	134	56258	429	373	100
Sample_Eu565F-Eu981R-OSD157-80m-depth	45578	22789	22789	291	290	290	45578	22789	22789	291	290	280	45070	22535	22535	271	269	269	22509	515	377	107	20472	481	371	100
Sample_Eu565F-Eu981R-OSD158	38542	19271	19271	290	289	289	38542	19271	19271	290	289	258	37736	18868	18868	270	268	237	18860	512	378	217	17339	512	371	100
Sample_Eu565F-Eu981R-OSD159	43934	21967	21967	291	290	290	43934	21967	21967	291	290	290	43170	21585	21585	271	269	269	21575	497	379	279	19821	452	373	100
Sample_Eu565F-Eu981R-OSD162	60516	30258	30258	290	289	289	60516	30258	30258	290	289	289	59396	29698	29698	270	268	268	29692	502	378	290	27839	497	374	100
Sample_Eu565F-Eu981R-OSD163	45208	22604	22604	291	290	290	45208	22604	22604	291	290	290	44422	22211	22211	271	269	269	22188	471	374	271	20311	424	369	100
Sample_Eu565F-Eu981R-OSD164	16814	8407	8407	290	289	289	16814	8407	8407	290	289	276	15816	7908	7908	270	268	255	7903	515	377	193	7421	465	372	100
Sample_Eu565F-Eu981R-OSD165	34114	17057	17057	291	290	290	34114	17057	17057	291	290	229	33420	16710	16710	271	269	208	16698	522	378	188	15336	452	371	100
Sample_Eu565F-Eu981R-OSD166	54182	27091	27091	290	289	289	54182	27091	27091	290	289	289	53222	26611	26611	270	268	268	26589	518	376	255	24933	499	372	100
Sample_Eu565F-Eu981R-OSD167	63672	31836	31836	290	288	42	63672	31836	31836	290	288	42	59786	29893	29893	270	267	21	29885	491	375	180	26427	484	369	100
Sample_Eu565F-Eu981R-OSD168	156712	78356	78356	290	289	289	156712	78356	78356	290	289	289	153156	76578	76578	270	268	268	76515	495	378	264	70990	482	373	100
Sample_Eu565F-Eu981R-OSD169	55364	27682	27682	289	288	288	55364	27682	27682	289	288	288	53524	26762	26762	269	267	267	26744	522	377	272	25193	478	372	100
Sample_Eu565F-Eu981R-OSD17	67372	33686	33686	290	289	289	67372	33686	33686	290	289	289	66120	33060	33060	270	268	268	33030	502	379	73	30812	431	374	100
Sample_Eu565F-Eu981R-OSD170	153674	76837	76837	289	287	250	153674	76837	76837	289	287	237	150354	75177	75177	269	266	216	75158	466	378	196	66364	452	370	100
Sample_Eu565F-Eu981R-OSD171	84844	42422	42422	291	290	290	84844	42422	42422	291	290	290	83462	41731	41731	271	269	269	41713	528	380	279	38106	451	373	100
Sample_Eu565F-Eu981R-OSD172	686	343	343	290	289	289	686	343	343	290	289	289	668	334	334	270	268	268	332	418	378	342	299	418	373	103
Sample_Eu565F-Eu981R-OSD173	124104	62052	62052	289	288	288	124104	62052	62052	289	288	288	121106	60553	60553	269	267	267	60513	503	379	268	55709	461	372	100
Sample_Eu565F-Eu981R-OSD174	143354	71677	71677	288	287	287	143354	71677	71677	288	287	202	140838	70419	70419	268	266	266	70374	473	379	259	65240	473	372	100
Sample_Eu565F-Eu981R-OSD175	76632	38316	38316	291	290	290	76632	38316	38316	291	290	290	75110	37555	37555	271	269	269	37530	492	379	290	34578	469	372	100
Sample_Eu565F-Eu981R-OSD176	115820	57910	57910	290	289	289	115820	57910	57910	290	289	289	113454	56727	56727	270	268	268	56686	478	379	271	51937	432	372	100
Sample_Eu565F-Eu981R-OSD177	124486	62243	62243	289	288	288	124486	62243	62243	289	288	288	121446	60723	60723	269	267	267	60684	483	380	273	56285	445	372	100
Sample_Eu565F-Eu981R-OSD178	154796	77398	77398	288	287	287	154796	77398	77398	288	287	287	151692	75846	75846	268	266	266	75797	502	379	270	70706	488	372	100
Sample_Eu565F-Eu981R-OSD18	45158	22579	22579	289	288	288	45158	22579	22579	289	288	288	43736	21868	21868	269	267	267	21854	512	378	265	20556	473	373	100
Sample_Eu565F-Eu981R-OSD182	76740	38370	38370	291	290	290	76740	38370	38370	291	290	290	75624	37812	37812	271	269	269	37791	526	377	272	34810	452	372	100
Sample_Eu565F-Eu981R-OSD183	115564	57782	57782	290	289	289	115564	57782	57782	290	289	289	113032	56516	56516	270	268	268	56470	522	375	95	52699	476	371	100
Sample_Eu565F-Eu981R-OSD184	105482	52741	52741	289	288	288	105482	52741	52741	289	288	270	103192	51596	51596	269	267	249	51575	517	378	127	48422	485	373	100
Sample_Eu565F-Eu981R-OSD185	142838	71419	71419	288	287	287	142838	71419	71419	288	287	287	140648	70324	70324	268	266	266	70270	502	378	261	65505	488	372	100
Sample_Eu565F-Eu981R-OSD186	55440	27720	27720	291	290	290	55440	27720	27720	291	290	290	54254	27127	27127	271	269	269	27112	485	373	82	25606	440	370	100
Sample_Eu565F-Eu981R-OSD187	73638	36819	36819	290	289	289	73638	36819	36819	290	289	289	72128	36064	36064	270	268	268	36039	469	379	276	33359	466	373	100
Sample_Eu565F-Eu981R-OSD19	41132	20566	20566	288	287	287	41132	20566	20566	288	287	287	39630	19815	19815	268	266	266	19800	485	379	256	18755	424	374	100
Sample_Eu565F-Eu981R-OSD2	94488	47244	47244	290	289	289	94488	47244	47244	290	289	276	92518	46259	46259	270	268	255	46232	471	377	113	43436	460	373	100
Sample_Eu565F-Eu981R-OSD20-20m-depth	129206	64603	64603	290	289	289	129206	64603	64603	290	289	289	126494	63247	63247	270	268	268	63210	462	379	251	59413	462	375	100
Sample_Eu565F-Eu981R-OSD20-surface	29838	14919	14919	291	290	290	29838	14919	14919	291	290	290	29354	14677	14677	271	269	269	14663	451	378	266	13646	437	374	100
Sample_Eu565F-Eu981R-OSD21	33912	16956	16956	289	288	288	33912	16956	16956	289	288	288	33114	16557	16557	269	267	267	16538	476	378	256	15669	476	374	100
Sample_Eu565F-Eu981R-OSD21-Dec-2012	112168	56084	56084	288	287	287	112168	56084	56084	288	287	287	109954	54977	54977	268	266	266	54930	517	378	254	51739	470	372	100
Sample_Eu565F-Eu981R-OSD21-Dec-2013	42044	21022	21022	291	290	290	42044	21022	21022	291	290	290	41262	20631	20631	271	269	269	20610	495	381	261	19453	466	374	100
Sample_Eu565F-Eu981R-OSD22	125244	62622	62622	290	289	289	125244	62622	62622	290	289	260	121810	60905	60905	270	268	239	60852	485	378	166	57249	485	374	100
Sample_Eu565F-Eu981R-OSD24	26772	13386	13386	289	288	288	26772	13386	13386	289	288	288	26034	13017	13017	269	267	267	13005	481	378	255	12202	452	373	100
Sample_Eu565F-Eu981R-OSD25	52042	26021	26021	288	287	287	52042	26021	26021	288	287	287	50800	25400	25400	268	266	266	25389	485	379	239	24098	472	374	100
Sample_Eu565F-Eu981R-OSD26	73700	36850	36850	291	290	290	73700	36850	36850	291	290	290	72400	36200	36200	271	269	269	36168	519	372	253	33445	494	367	100
Sample_Eu565F-Eu981R-OSD28	23422	11711	11711	290	289	289	23422	11711	11711	290	289	289	22944	11472	11472	270	268	268	11464	513	375	265	10844	494	370	100
Sample_Eu565F-Eu981R-OSD29	60076	30038	30038	289	288	288	60076	30038	30038	289	288	288	58922	29461	29461	269	267	267	29438	468	378	265	27802	459	372	100
Sample_Eu565F-Eu981R-OSD3	87664	43832	43832	289	288	288	87664	43832	43832	289	288	288	85406	42703	42703	269	267	267	42674	486	379	243	40348	455	375	100
Sample_Eu565F-Eu981R-OSD30	98670	49335	49335	288	287	287	98670	49335	49335	288	287	278	97114	48557	48557	268	266	257	48530	488	380	237	45426	454	373	100
Sample_Eu565F-Eu981R-OSD34	30160	15080	15080	291	290	290	30160	15080	15080	291	290	290	29530	14765	14765	271	269	269	14758	503	377	249	13780	503	372	100
Sample_Eu565F-Eu981R-OSD35	81990	40995	40995	290	289	289	81990	40995	40995	290	289	289	80286	40143	40143	270	268	268	40112	457	373	245	37629	457	370	100
Sample_Eu565F-Eu981R-OSD36	68894	34447	34447	289	288	288	68894	34447	34447	289	288	288	67316	33658	33658	269	267	267	33639	472	375	264	31966	460	371	100
Sample_Eu565F-Eu981R-OSD37	91836	45918	45918	288	287	287	91836	45918	45918	288	287	287	89992	44996	44996	268	266	266	44964	500	378	63	42958	482	375	100
Sample_Eu565F-Eu981R-OSD38	73474	36737	36737	291	290	290	73474	36737	36737	291	290	238	72678	36339	36339	271	269	217	36306	513	378	197	33737	496	373	100
Sample_Eu565F-Eu981R-OSD39	29720	14860	14860	290	289	289	29720	14860	14860	290	289	289	28968	14484	14484	270	268	268	14471	509	371	253	13728	452	369	100
Sample_Eu565F-Eu981R-OSD4	98560	49280	49280	291	289	41	98560	49280	49280	291	289	41	96136	48068	48068	271	268	20	48050	493	379	192	41932	469	371	100
Sample_Eu565F-Eu981R-OSD41	63268	31634	31634	289	288	288	63268	31634	31634	289	288	288	61842	30921	30921	269	267	267	30906	488	380	297	29294	410	376	100
Sample_Eu565F-Eu981R-OSD42	45504	22752	22752	288	287	287	45504	22752	22752	288	287	287	44788	22394	22394	268	266	266	22365	477	378	269	21009	448	372	100
Sample_Eu565F-Eu981R-OSD43	57890	28945	28945	291	290	290	57890	28945	28945	291	290	206	57282	28641	28641	271	269	185	28613	528	382	165	26386	488	372	100
Sample_Eu565F-Eu981R-OSD45	52462	26231	26231	290	289	289	52462	26231	26231	290	289	289	51228	25614	25614	270	268	268	25590	475	378	97	23806	468	372	100
Sample_Eu565F-Eu981R-OSD46	5450	2725	2725	291	290	290	5450	2725	2725	291	290	290	5346	2673	2673	271	269	269	2669	416	378	278	2496	416	375	100
Sample_Eu565F-Eu981R-OSD47	90520	45260	45260	290	289	289	90520	45260	45260	290	289	289	88716	44358	44358	270	268	268	44325	475	376	119	42009	475	373	100
Sample_Eu565F-Eu981R-OSD48	43754	21877	21877	291	290	290	43754	21877	21877	291	290	290	42962	21481	21481	271	269	269	21473	476	378	282	19935	476	373	100
Sample_Eu565F-Eu981R-OSD49	71670	35835	35835	290	289	289	71670	35835	35835	290	289	289	70086	35043	35043	270	268	268	35014	485	378	256	33142	485	373	100
Sample_Eu565F-Eu981R-OSD5-1m-depth	61138	30569	30569	291	290	290	61138	30569	30569	291	290	228	60100	30050	30050	271	269	207	30023	473	377	155	28115	438	373	100
Sample_Eu565F-Eu981R-OSD5-75m-depth	86200	43100	43100	290	289	289	86200	43100	43100	290	289	196	83832	41916	41916	270	268	175	41888	484	377	146	39417	476	374	100
Sample_Eu565F-Eu981R-OSD50	54424	27212	27212	291	290	290	54424	27212	27212	291	290	206	53420	26710	26710	271	269	185	26686	515	378	165	24826	452	373	100
Sample_Eu565F-Eu981R-OSD51	50912	25456	25456	290	289	289	50912	25456	25456	290	289	289	50038	25019	25019	270	268	268	24995	488	377	241	23549	475	373	100
Sample_Eu565F-Eu981R-OSD52	42102	21051	21051	290	288	46	42102	21051	21051	290	288	46	39312	19656	19656	270	267	25	19652	497	377	195	17362	465	368	100
Sample_Eu565F-Eu981R-OSD53	35604	17802	17802	290	289	289	35604	17802	17802	290	289	289	34314	17157	17157	270	268	268	17145	527	377	113	15814	510	369	100
Sample_Eu565F-Eu981R-OSD54	86684	43342	43342	289	288	288	86684	43342	43342	289	288	288	84630	42315	42315	269	267	267	42287	507	380	180	39503	477	372	100
Sample_Eu565F-Eu981R-OSD55	80078	40039	40039	289	287	235	80078	40039	40039	289	287	222	78248	39124	39124	269	266	213	39118	488	378	193	34955	486	371	100
Sample_Eu565F-Eu981R-OSD56	75506	37753	37753	291	290	290	75506	37753	37753	291	290	255	74300	37150	37150	271	269	234	37119	482	376	214	34405	472	372	100
Sample_Eu565F-Eu981R-OSD57	82434	41217	41217	290	289	289	82434	41217	41217	290	289	289	80962	40481	40481	270	268	268	40450	523	377	286	37507	478	372	100
Sample_Eu565F-Eu981R-OSD58	124854	62427	62427	289	288	288	124854	62427	62427	289	288	262	121978	60989	60989	269	267	243	60939	507	379	173	56775	500	373	100
Sample_Eu565F-Eu981R-OSD6	66392	33196	33196	289	288	288	66392	33196	33196	289	288	280	58108	29054	29054	269	267	267	29036	520	378	245	27297	449	374	100
Sample_Eu565F-Eu981R-OSD60	92666	46333	46333	288	287	287	92666	46333	46333	288	287	287	91156	45578	45578	268	266	266	45547	503	378	285	42776	491	372	100
Sample_Eu565F-Eu981R-OSD61	67476	33738	33738	291	290	290	67476	33738	33738	291	290	290	66138	33069	33069	271	269	269	33037	495	375	121	30608	430	371	100
Sample_Eu565F-Eu981R-OSD62	89326	44663	44663	290	289	289	89326	44663	44663	290	289	289	87304	43652	43652	270	268	268	43611	497	379	271	40396	483	373	100
Sample_Eu565F-Eu981R-OSD63	4748	2374	2374	289	288	288	4748	2374	2374	289	288	288	4384	2192	2192	269	267	267	2188	521	376	364	2061	388	372	100
Sample_Eu565F-Eu981R-OSD64	123524	61762	61762	288	287	287	123524	61762	61762	288	287	236	121116	60558	60558	268	266	215	60522	483	377	195	56648	483	372	100
Sample_Eu565F-Eu981R-OSD65	71358	35679	35679	291	290	290	71358	35679	35679	291	290	290	70396	35198	35198	271	269	269	35165	524	375	54	32493	444	370	100
Sample_Eu565F-Eu981R-OSD69	102266	51133	51133	290	289	289	102266	51133	51133	290	289	289	99960	49980	49980	270	268	268	49931	457	377	288	46329	420	373	100
Sample_Eu565F-Eu981R-OSD7	40518	20259	20259	288	287	287	40518	20259	20259	288	287	287	39814	19907	19907	268	266	266	19890	428	378	266	18692	428	373	100
Sample_Eu565F-Eu981R-OSD70	97202	48601	48601	289	288	288	97202	48601	48601	289	288	288	95290	47645	47645	269	267	267	47611	480	376	303	44592	476	370	100
Sample_Eu565F-Eu981R-OSD71	122250	61125	61125	288	287	287	122250	61125	61125	288	287	287	120446	60223	60223	268	266	266	60178	484	375	289	56077	441	370	100
Sample_Eu565F-Eu981R-OSD72	52102	26051	26051	291	290	290	52102	26051	26051	291	290	290	51028	25514	25514	271	269	269	25491	459	378	275	23928	420	374	100
Sample_Eu565F-Eu981R-OSD73	55908	27954	27954	290	289	289	55908	27954	27954	290	289	289	54750	27375	27375	270	268	268	27364	474	377	273	25464	456	372	100
Sample_Eu565F-Eu981R-OSD74	118108	59054	59054	289	288	288	118108	59054	59054	289	288	288	115662	57831	57831	269	267	267	57794	496	383	139	54090	459	375	100
Sample_Eu565F-Eu981R-OSD76	43992	21996	21996	288	287	287	43992	21996	21996	288	287	287	42902	21451	21451	268	266	266	21437	484	378	280	20080	474	373	100
Sample_Eu565F-Eu981R-OSD77	20776	10388	10388	291	290	290	20776	10388	10388	291	290	290	20404	10202	10202	271	269	269	10195	496	377	276	9304	426	371	100
Sample_Eu565F-Eu981R-OSD78	101906	50953	50953	290	289	289	101906	50953	50953	290	289	289	99696	49848	49848	270	268	268	49798	504	380	85	46462	485	372	100
Sample_Eu565F-Eu981R-OSD8	45390	22695	22695	291	290	290	45390	22695	22695	291	290	290	44574	22287	22287	271	269	269	22260	470	377	258	20839	421	373	100
Sample_Eu565F-Eu981R-OSD80	112516	56258	56258	289	288	288	112516	56258	56258	289	288	288	109990	54995	54995	269	267	267	54949	480	374	302	51670	435	371	100
Sample_Eu565F-Eu981R-OSD80-2m-depth	87166	43583	43583	288	287	287	87166	43583	43583	288	287	234	85420	42710	42710	268	266	213	42677	511	377	193	40102	469	373	100
Sample_Eu565F-Eu981R-OSD81	39390	19695	19695	291	290	290	39390	19695	19695	291	290	290	38606	19303	19303	271	269	269	19287	527	377	305	18238	475	373	100
Sample_Eu565F-Eu981R-OSD90	135418	67709	67709	290	289	289	135418	67709	67709	290	289	269	132630	66315	66315	270	268	248	66261	509	379	73	62283	482	373	100
Sample_Eu565F-Eu981R-OSD90-melted	16902	8451	8451	289	288	288	16902	8451	8451	289	288	288	15268	7634	7634	269	267	267	7645	453	377	267	7193	420	373	100
Sample_Eu565F-Eu981R-OSD91	75470	37735	37735	288	287	287	75470	37735	37735	288	287	287	73810	36905	36905	268	266	266	36887	502	378	299	34732	486	373	100
Sample_Eu565F-Eu981R-OSD92	93990	46995	46995	291	290	290	93990	46995	46995	291	290	206	92322	46161	46161	271	269	185	46101	515	376	165	42186	486	369	100
Sample_Eu565F-Eu981R-OSD93	42108	21054	21054	290	289	289	42108	21054	21054	290	289	289	41390	20695	20695	270	268	268	20676	486	378	284	19473	486	373	100
Sample_Eu565F-Eu981R-OSD94	46932	23466	23466	289	288	288	46932	23466	23466	289	288	288	46016	23008	23008	269	267	267	22989	516	377	99	21562	488	372	100
