Sample	barcode-sorting.total.reads	barcode-sorting.read.pairs.1	barcode-sorting.read.pairs.2	barcode-sorting.max.length	barcode-sorting.mean.length	barcode-sorting.min.length	adapter-clipping.total.reads	adapter-clipping.read.pairs.1	adapter-clipping.read.pairs.2	adapter-clipping.max.length	adapter-clipping.mean.length	adapter-clipping.min.length	primer-clipping.total.reads	primer-clipping.read.pairs.1	primer-clipping.read.pairs.2	primer-clipping.max.length	primer-clipping.mean.length	primer-clipping.min.length	read-merging.total.reads	read-merging.max.length	read-merging.mean.length	read-merging.min.length	quality-trimming.total.reads	quality-trimming.max.length	quality-trimming.mean.length	quality-trimming.min.length
Sample_Eu565F-Eu981R-OSD1	87302	43651	43651	292	290	48	87302	43651	43651	292	290	48	85556	42778	42778	272	269	27	42773	449	375	157	37200	449	368	100
Sample_Eu565F-Eu981R-OSD10	139600	69800	69800	290	289	289	139600	69800	69800	290	289	229	136840	68420	68420	270	268	268	68354	488	379	186	63574	479	373	100
Sample_Eu565F-Eu981R-OSD100-1m-depth	121258	60629	60629	291	290	290	121258	60629	60629	291	290	234	119870	59935	59935	271	269	257	59895	476	378	123	54376	476	372	100
Sample_Eu565F-Eu981R-OSD100-20m-depth	16534	8267	8267	290	289	289	16534	8267	8267	290	289	289	15702	7851	7851	270	268	268	7848	483	378	190	7292	476	372	100
Sample_Eu565F-Eu981R-OSD101	45116	22558	22558	289	288	288	45116	22558	22558	289	288	263	43936	21968	21968	269	267	267	21948	497	378	200	20322	497	371	100
Sample_Eu565F-Eu981R-OSD102	123590	61795	61795	288	287	287	123590	61795	61795	288	287	206	121330	60665	60665	268	266	185	60612	516	376	165	56778	486	371	100
Sample_Eu565F-Eu981R-OSD103	73008	36504	36504	291	290	290	73008	36504	36504	291	290	290	72180	36090	36090	271	269	269	36055	483	375	303	32986	465	370	100
Sample_Eu565F-Eu981R-OSD105	36018	18009	18009	290	289	289	36018	18009	18009	290	289	289	35174	17587	17587	270	268	268	17570	503	377	290	16234	434	373	100
Sample_Eu565F-Eu981R-OSD106-sea-water-bottom	82162	41081	41081	290	289	289	82162	41081	41081	290	289	289	80606	40303	40303	270	268	268	40224	439	396	284	37565	439	370	100
Sample_Eu565F-Eu981R-OSD106-surface	52490	26245	26245	291	290	290	52490	26245	26245	291	290	290	51604	25802	25802	271	269	269	25789	472	378	74	23862	460	373	100
Sample_Eu565F-Eu981R-OSD107	47290	23645	23645	291	290	290	47290	23645	23645	291	290	290	46408	23204	23204	271	269	269	23189	529	378	94	21236	477	370	100
Sample_Eu565F-Eu981R-OSD108	71020	35510	35510	290	289	289	71020	35510	35510	290	289	289	69402	34701	34701	270	268	268	34683	502	378	243	32460	489	373	100
