center_name
OSD_Alfred Wegener Institute Helmholtz Center for Polar and Marine Research
OSD_American University of Cairo
OSD_AZTI Tecnalia
OSD_Bangor University
OSD_Bigelow Laboratory for Ocean Sciences
OSD_Biologische Anstalt Helgoland (BAH) - Alfred Wegner Institute (AWI)
OSD_BioMERIT Research Centre / Environmental Research Institute, University College Cork
OSD_Bocas del Toro Research Station
OSD_Carrie Bow Cay Field Station, Belize (Smithsonian Marine Station)
OSD_CEFAS (Centre for Environment, Fisheries & Aquaculture Science)
OSD_Centre Nationale Recherche Scientific
OSD_Centre of Marine Sciences, Portugal
OSD_Centro de Investigación y de Estudios Avanzados del IPN Unidad Mérida (Short: CINVESTAV-Unidad Mérida)
OSD_Centro Universitario de la Región Este, Rocha
OSD_Churchill Northern Studies, University of Guelph
OSD_CIAD
OSD_CIIMAR, Interdisciplinary Center of Environmental and Marine Research
OSD_CONISMA
OSD_CRIOBE CNRS-EPHE-UPVD USR3278
OSD_Dalhousie University
OSD_Datafable
OSD_Department of Biology, University of Bergen
OSD_Department of Biology, University of Padova
OSD_Department of Marine Science, University of Otago
OSD_Dokuz Eylul University Institute of Marine Sciences and Technology
OSD_Dove Marine Laboratory, School of Marine Science and Technology,  Newcastle University
OSD_Duke University
OSD_Eastern Mediterranean University
OSD_EcoOcean
OSD_Faculty of Applied Sciences, Rajarata, University of Sri Lanka, Mihintale
OSD_Faculty of Science of Oujda, University Mohamed First
OSD_Faculty of Sciences and Techniques of Tangier, University Abdelmalek Essaadi
OSD_Finnish Environment Institute/ Tvärminne Zoological Station
OSD_Flanders Marine Institute
OSD_Göteborg University Department of Biological and Environmental Sciences
OSD_Harvard University
OSD_Hawaiian Island Humpback Whale National Marine Sanctuary
OSD_Hellenic Centre for Marine Research
OSD_IMOS National Refence Station
OSD_IMOS/AIMS/CSIRO
OSD_IMOS/CSIRO
OSD_IMOS/SARDI/CSIRO
OSD_Institut de Ciències del Mar
OSD_Institut fuer Chemie und Biologie des Meeres (ICBM) at Carl von Ossietzky Universitaet Oldenburg
OSD_Institut National Des Sciences et Technologies de la Mer (INSTM)
OSD_Institut Pasteur du Maroc
OSD_Institut Ruđer Bošković Rovinj
OSD_Institute for Coastal Marine Environments, CNR, Messina, Italy
OSD_Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences
OSD_Institute of Oceanology - Bulgarian Academy of Sciences, Varna
OSD_Institution Bar ilan university
OSD_Institution- Israel Oceanographic and Limnological Research, National institute of Oceanography
OSD_Instituto de Ecologia, UNAM
OSD_IPMA
OSD_IPMA & IPL
"OSD_IPMA; Instituto Português do Mar e da Atmosfera"
OSD_Istanbul Technical University /Faculty of Naval Architecture and Ocean Engineering
OSD_Jacobs University Bremen and University of Akureyri
OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution Marine Biological Laboratory
OSD_Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory
OSD_Kewalo Marine Laboratory, University of Hawaii at Manoa
OSD_Kind Of Blue Project  (Private/Individual)
OSD_Kyoto University
OSD_Lwandle Technologies
OSD_MARE - Marine and Environmental Sciences Centre
OSD_Marine Biology Station, Piran
OSD_Marine Scotland Science
OSD_MATIS
OSD_Mediterranean Institute of Oceanography – OSU Pytheas/Centre Nationale Recherche Scientific
OSD_National Ocean Service, Center for Coastal Environmental Health and Biomolecular Research, Charleston, SC
OSD_National Research Council - Institute of Marine Science (ISMAR - CNR)
OSD_Near East University
OSD_NOAA
OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami
OSD_NOAA Fisheries, Northwest Fisheries Science Center, Seattle, WA
OSD_NOAA Great Lakes Environmental Research Laboratory
OSD_NOAA/NOS Cooperative Oxford Lab
OSD_Observatoire Oceanologique de Villefranche sur mer
OSD_Oceanology Observatory of Banyuls
OSD_Odessa National I.I. Mechnikov University, biology faculty
OSD_OGS (National Institute of Oceanography and Experimental Geophysic)
OSD_Plentzia Marine Station
OSD_Polydisciplinary Faculty of Nador, University Mohamed First
OSD_Rothera Research Station
OSD_San Pedro Ocean Time Series, USC Microbial Observatory, University of Southern California
OSD_Scripps Institute of Oceanography
OSD_Singapore Centre on Environmental Life Science Engineering at Nanyang Technological University
OSD_Skidaway Institute of Oceanography, University of Georgia
OSD_Smithsonian Environmental Research Center
OSD_Smithsonian Marine Station at Fort Pierce, FL
OSD_Station Biologique de Roscoff, France
OSD_Stazione Zoologica Anton Dohrn
OSD_Technical University of Denmark
OSD_The Bermuda Biological Station for Research, Inc. (BBSR)
OSD_Universidad Autónoma de Yucatán
OSD_Universidad Nacional Autónoma de México, Unidad Sisal
OSD_University of Alaska Fairbanks
OSD_University of Alexandria
OSD_University of Auckland
OSD_University of Brawijaya
OSD_University of California, Davis
OSD_University of Essex
OSD_University of Kiel, GEOMAR Helmholtz Center for Ocean Research
OSD_University of Mauritius
OSD_University of Patras
OSD_University of Southern Mississippi (NOAA site)
OSD_University of Urbino, Dep. of Biomolecular Sciences, Section of Environmental Biology
OSD_Western Observatory Channel, Plymouth Marine Laboratory
