osd_id,ena_run_accession,sample_label,ena_sample_accession
64,ERR770983,OSD64_2014-06-21_1m_NPL022,ERS667596
63,ERR770984,OSD63_2014-06-20_0m_NPL022,ERS667597
62,ERR770985,OSD62_2014-06-21_0.2m_NPL022,ERS667598
61,ERR770986,OSD61_2014-06-21_0.5m_NPL022,ERS667599
60,ERR770987,OSD60_2014-06-19_0.1m_NPL022,ERS667600
58,ERR770989,OSD58_2014-06-21_1m_NPL022,ERS667601
57,ERR770990,OSD57_2014-06-24_0m_NPL022,ERS667602
56,ERR770991,OSD56_2014-06-24_0m_NPL022,ERS667603
55,ERR770992,OSD55_2014-06-21_1m_NPL022,ERS667604
54,ERR770993,OSD54_2014-06-21_1m_NPL022,ERS667606
53,ERR770994,OSD53_2014-06-21_1m_NPL022,ERS667608
52,ERR770995,OSD52_2014-06-21_1m_NPL022,ERS667609
51,ERR770996,OSD51_2014-06-21_2m_NPL022,ERS667616
50,ERR770997,OSD50_2014-06-20_0m_NPL022,ERS667618
49,ERR771000,OSD49_2014-06-21_2m_NPL022,ERS667619
48,ERR771001,OSD48_2014-06-21_0m_NPL022,ERS667620
47,ERR771002,OSD47_2014-06-21_0m_NPL022,ERS667621
46,ERR771003,OSD46_2014-06-21_0m_NPL022,ERS667622
45,ERR771004,OSD45_2014-06-22_0m_NPL022,ERS667623
43,ERR771005,OSD43_2014-06-21_0m_NPL022,ERS667625
42,ERR771006,OSD42_2014-06-21_3m_NPL022,ERS667626
41,ERR771007,OSD41_2014-06-21_1m_NPL022,ERS667627
39,ERR771009,OSD39_2014-06-19_0.1m_NPL022,ERS667628
38,ERR771010,OSD38_2014-06-20_0m_NPL022,ERS667629
37,ERR771011,OSD37_2014-06-19_1m_NPL022,ERS667630
36,ERR771012,OSD36_2014-06-21_0.5m_NPL022,ERS667632
35,ERR771013,OSD35_2014-06-21_1m_NPL022,ERS667633
29,ERR771017,OSD29_2014-06-21_0.2m_NPL022,ERS667640
28,ERR771018,OSD28_2014-06-21_0.2m_NPL022,ERS667641
26,ERR771019,OSD26_2014-06-21_0m_NPL022,ERS667642
25,ERR771020,OSD25_2014-06-21_0m_NPL022,ERS667643
24,ERR771021,OSD24_2014-06-21_0m_NPL022,ERS667644
22,ERR771022,OSD22_2014-06-23_1m_NPL022,ERS667645
21,ERR771023,OSD21_2014-06-21_0m_NPL022,ERS667646
20,ERR771025,OSD20_2014-06-20_20m_NPL022,ERS667648
19,ERR771027,OSD19_2014-06-23_2m_NPL022,ERS667649
18,ERR771033,OSD18_2014-06-20_75m_NPL022,ERS667650
17,ERR771043,OSD17_2014-06-20_3m_NPL022,ERS667651
15,ERR771063,OSD15_2014-06-21_50m_NPL022,ERS667652
15,ERR771062,OSD15_2014-06-21_0m_NPL022,ERS667653
14,ERR771073,OSD14_2014-06-23_2m_NPL022,ERS667654
13,ERR771078,OSD13_2014-06-21_0m_NPL022,ERS667655
10,ERR771105,OSD10_2014-06-21_1m_NPL022,ERS667657
9,ERR770968,OSD9_2014-06-18_0m_NPL022,ERS667658
7,ERR770980,OSD7_2014-06-21_0.1m_NPL022,ERS667659
6,ERR770988,OSD6_2014-06-21_0m_NPL022,ERS667660
5,ERR770998,OSD5_2014-06-19_75m_NPL022,ERS667661
5,ERR770999,OSD5_2014-06-19_1m_NPL022,ERS667662
4,ERR771008,OSD4_2014-06-20_0m_NPL022,ERS667664
3,ERR771016,OSD3_2014-06-20_0m_NPL022,ERS667665
2,ERR771026,OSD2_2014-06-20_0m_NPL022,ERS667667
1,ERR771106,OSD1_2014-06-21_0m_NPL022,ERS667668
20,ERR771024,OSD20_2014-06-20_0m_NPL022,ERS667647
106,ERR771099,OSD106_2014-06-20_0m_NPL022,ERS667560
98,ERR770959,OSD98_2014-06-21_0.5m_NPL022,ERS667569
34,ERR771014,OSD34_2014-06-21_0m_NPL022,ERS667634
30,ERR771015,OSD30_2014-06-20_2m_NPL022,ERS667638
