label	osd_id	local_date	water_depth	protocol	start_lat	start_lon	stop_lat	stop_lon
OSD49_2014-06-21_2m_NE08	49	2014-06-21	2	NE08	45.325568	13.33189	45.325568	13.33189
OSD50_2014-06-20_0m_NPL022	50	2014-06-20	0	NPL022	43.333333	-1.925	43.333333	-1.925
OSD51_2014-06-21_2m_NPL022	51	2014-06-21	2	NPL022	9.3485	-82.2660	9.3485	-82.2660
OSD52_2014-06-21_1m_NPL022	52	2014-06-21	1	NPL022	27.02527	33.91255	27.02527	33.91253
OSD53_2014-06-21_1m_NPL022	53	2014-06-21	1	NPL022	27.041533	33.907033	27.041533	33.9082
OSD54_2014-06-21_1m_NPL022	54	2014-06-21	1	NPL022	43.8444	-69.6409	43.8444	69.6409
OSD54_2014-06-21_1m_NE08	54	2014-06-21	1	NE08	43.8444	-69.6409	43.8444	-69.6409
OSD55_2014-06-21_1m_NPL022	55	2014-06-21	1	NPL022	43.8604	-69.5781	43.8604	-69.5781
OSD55_2014-06-21_1m_NE08	55	2014-06-21	1	NE08	43.8604	-69.5781	43.8604	-69.5781
OSD56_2014-06-24_0m_NPL022	56	2014-06-24	0	NPL022	21.28880	-156.86362	21.28880	-156.86362
OSD57_2014-06-24_0m_NPL022	57	2014-06-24	0	NPL022	21.28656	-157.84351	21.28656	-157.84351
OSD58_2014-06-21_1m_NPL022	58	2014-06-21	1	NPL022	34.7181	-76.6707	34.7181	-76.6707
OSD60_2014-06-19_0.1m_NE08	60	2014-06-19	0.1	NE08	33.32306	-79.16763	33.32306	-79.16763
OSD60_2014-06-19_0.1m_NPL022	60	2014-06-19	0.1	NPL022	33.32306	-79.16763	33.32306	-79.16763
OSD61_2014-06-21_0.5m_NPL022	61	2014-06-21	0.5	NPL022	41.524467	-70.672174	41.524467	-70.672174
OSD62_2014-06-21_0.2m_NPL022	62	2014-06-21	0.2	NPL022	53.225417	-4.159028	53.225417	-4.159028
OSD63_2014-06-20_0m_NPL022	63	2014-06-20	0	NPL022	45.314350	12.508317	45.314350	12.508317
OSD64_2014-06-21_1m_NPL022	64	2014-06-21	1	NPL022	46.44155	30.77595	46.44155	30.77595
OSD65_2014-06-20_0.1m_NPL022	65	2014-06-20	0.1	NPL022	-36.292794	174.818567	-36.292794	174.818567
OSD69_2014-06-21_0m_NPL022	69	2014-06-21	0	NPL022	45.4568	12.2605	45.4568	12.2605
OSD70_2014-06-21_0m_NPL022	70	2014-06-21	0	NPL022	45.4142	12.4378	45.4142	12.4378
OSD71_2014-06-20_0m_NE08	71	2014-06-20	0	NE08	-45.7442	170.7706	-45.7442	170.7706
OSD71_2014-06-21_0m_NPL022	71	2014-06-21	0	NPL022	-45.7442	170.7706	-45.7442	170.7706
OSD72_2014-06-21_0.8m_NPL022	72	2014-06-21	0.8	NPL022	54.8333	10	54.8333	10
