OSD127_2014-06-21_10m_NPL022,Eukaryota,139
OSD127_2014-06-21_10m_NPL022,Unclassified,133
OSD128_2014-06-21_1m_NPL022,Bacteria,1134
OSD128_2014-06-21_1m_NPL022,Eukaryota,300
OSD128_2014-06-21_1m_NPL022,Unclassified,188
OSD129_2014-06-21_10m_NPL022,Bacteria,1830
OSD129_2014-06-21_10m_NPL022,Eukaryota,130
OSD129_2014-06-21_10m_NPL022,Unclassified,189
OSD13_2014-06-21_0m_NPL022,Archaea,1
OSD13_2014-06-21_0m_NPL022,Bacteria,599
OSD13_2014-06-21_0m_NPL022,Eukaryota,73
OSD13_2014-06-21_0m_NPL022,Unclassified,110
OSD130_2014-06-21_1m_NPL022,Archaea,1
OSD130_2014-06-21_1m_NPL022,Bacteria,1180
OSD130_2014-06-21_1m_NPL022,Eukaryota,303
OSD130_2014-06-21_1m_NPL022,Unclassified,154
OSD131_2014-06-21_1m_NPL022,Archaea,2
OSD131_2014-06-21_1m_NPL022,Bacteria,309
OSD131_2014-06-21_1m_NPL022,Eukaryota,57
OSD131_2014-06-21_1m_NPL022,Unclassified,57
OSD132_2014-06-22_0.5m_NPL022,Archaea,4
OSD132_2014-06-22_0.5m_NPL022,Bacteria,731
OSD132_2014-06-22_0.5m_NPL022,Eukaryota,79
OSD132_2014-06-22_0.5m_NPL022,Unclassified,127
OSD133_2014-06-21_0m_NPL022,Archaea,39
OSD133_2014-06-21_0m_NPL022,Bacteria,1482
OSD133_2014-06-21_0m_NPL022,Eukaryota,213
OSD133_2014-06-21_0m_NPL022,Unclassified,237
OSD14_2014-06-23_2m_NPL022,Archaea,2
OSD14_2014-06-23_2m_NPL022,Bacteria,704
OSD14_2014-06-23_2m_NPL022,Eukaryota,139
OSD14_2014-06-23_2m_NPL022,Unclassified,146
OSD141_2014-06-20_5m_NPL022,Archaea,11
OSD141_2014-06-20_5m_NPL022,Bacteria,1226
OSD141_2014-06-20_5m_NPL022,Eukaryota,731
OSD141_2014-06-20_5m_NPL022,Unclassified,233
OSD142_2014-06-21_1m_NPL022,Archaea,15
OSD142_2014-06-21_1m_NPL022,Bacteria,955
OSD142_2014-06-21_1m_NPL022,Eukaryota,128
OSD142_2014-06-21_1m_NPL022,Unclassified,161
OSD143_2014-06-21_1m_NPL022,Archaea,10
OSD143_2014-06-21_1m_NPL022,Bacteria,736
OSD143_2014-06-21_1m_NPL022,Eukaryota,243
OSD143_2014-06-21_1m_NPL022,Unclassified,169
OSD144_2014-06-24_0m_NPL022,Archaea,25
OSD144_2014-06-24_0m_NPL022,Bacteria,560
OSD144_2014-06-24_0m_NPL022,Eukaryota,194
OSD144_2014-06-24_0m_NPL022,Unclassified,113
OSD145_2014-06-21_0m_NPL022,Archaea,17
OSD145_2014-06-21_0m_NPL022,Bacteria,1200
OSD145_2014-06-21_0m_NPL022,Eukaryota,346
OSD145_2014-06-21_0m_NPL022,Unclassified,184
OSD146_2014-06-21_5m_NPL022,Archaea,16
OSD146_2014-06-21_5m_NPL022,Bacteria,1322
OSD146_2014-06-21_5m_NPL022,Eukaryota,524
OSD146_2014-06-21_5m_NPL022,Unclassified,216
OSD147_2014-06-21_0m_NPL022,Archaea,24
OSD147_2014-06-21_0m_NPL022,Bacteria,1049
OSD147_2014-06-21_0m_NPL022,Eukaryota,130
OSD147_2014-06-21_0m_NPL022,Unclassified,148
OSD148_2014-06-21_0m_NPL022,Archaea,15
OSD148_2014-06-21_0m_NPL022,Bacteria,611
OSD148_2014-06-21_0m_NPL022,Eukaryota,191
OSD148_2014-06-21_0m_NPL022,Unclassified,140
OSD149_2014-06-21_0m_NPL022,Archaea,1
OSD149_2014-06-21_0m_NPL022,Bacteria,641
OSD149_2014-06-21_0m_NPL022,Eukaryota,68
OSD149_2014-06-21_0m_NPL022,Unclassified,130
OSD15_2014-06-21_0m_NPL022,Bacteria,789
OSD15_2014-06-21_0m_NPL022,Eukaryota,95
OSD15_2014-06-21_0m_NPL022,Unclassified,118
OSD15_2014-06-21_50m_NPL022,Archaea,2
OSD15_2014-06-21_50m_NPL022,Bacteria,891
OSD15_2014-06-21_50m_NPL022,Eukaryota,75
OSD15_2014-06-21_50m_NPL022,Unclassified,92
OSD150_2014-06-21_0m_NPL022,Archaea,2
OSD150_2014-06-21_0m_NPL022,Bacteria,625
OSD150_2014-06-21_0m_NPL022,Eukaryota,118
OSD150_2014-06-21_0m_NPL022,Unclassified,104
OSD151_2014-06-21_0m_NPL022,Bacteria,210
OSD151_2014-06-21_0m_NPL022,Eukaryota,9
OSD151_2014-06-21_0m_NPL022,Unclassified,2
OSD152_2014-06-20_1m_NPL022,Bacteria,902
OSD152_2014-06-20_1m_NPL022,Eukaryota,288
OSD152_2014-06-20_1m_NPL022,Unclassified,154
OSD152_2014-06-20_5m_NPL022,Archaea,1
OSD152_2014-06-20_5m_NPL022,Bacteria,1235
OSD152_2014-06-20_5m_NPL022,Eukaryota,907
OSD152_2014-06-20_5m_NPL022,Unclassified,268
OSD153_2014-06-21_0m_NPL022,Archaea,28
OSD153_2014-06-21_0m_NPL022,Bacteria,1787
OSD153_2014-06-21_0m_NPL022,Eukaryota,268
OSD153_2014-06-21_0m_NPL022,Unclassified,295
OSD154_2014-06-20_1m_NPL022,Archaea,73
OSD154_2014-06-20_1m_NPL022,Bacteria,1757
OSD154_2014-06-20_1m_NPL022,Eukaryota,467
OSD154_2014-06-20_1m_NPL022,Unclassified,225
OSD155_2014-06-21_1m_NPL022,Archaea,1
OSD155_2014-06-21_1m_NPL022,Bacteria,848
OSD155_2014-06-21_1m_NPL022,Eukaryota,358
OSD155_2014-06-21_1m_NPL022,Unclassified,159
OSD156_2014-06-21_1m_NPL022,Archaea,2
OSD156_2014-06-21_1m_NPL022,Bacteria,2403
OSD156_2014-06-21_1m_NPL022,Eukaryota,362
OSD156_2014-06-21_1m_NPL022,Unclassified,270
OSD157_2014-06-20_1m_NPL022,Archaea,4
OSD157_2014-06-20_1m_NPL022,Bacteria,2249
OSD157_2014-06-20_1m_NPL022,Eukaryota,1104
OSD157_2014-06-20_1m_NPL022,Unclassified,341
