00000302,rift valley
00000303,coast
00000304,shore
00000305,peninsula
00000306,spit
00000307,icefall
00000308,dune slack
00000309,depression
00000310,impact crater
00000311,kettle
00000312,sandur
00000313,blowout
00000314,alluvial fan
00000315,bajada
00000316,intertidal zone
00000317,tidal pool
00000318,high tide zone
00000319,low tide zone
00000320,crevasse
00000321,joint-plane cave
00000322,lava cave
00000323,live cave
00000324,outflow cave
00000325,polje
00000326,sea cave
00000327,speleothem
00000328,vadoze zone
00000329,phreatic zone
00000330,stalagmite
00000331,stalactite
00000332,doline
00000333,subjacent karst
00000334,syngenetic karst
00000335,polygonal karst
00000336,doline karst
00000337,orange juice
00000338,vomit
00000339,piece of rock
00000340,grain of sand
00000341,piece of gravel
00000342,ice cap dome
00000343,particle of silt
00000344,grain of desert sand
00000345,grain of beach sand
00000346,grain of acid dune sand
00000347,grain of sea sand
00000348,grain of rocky sand
00000349,terrarium
00000350,somma volcano
00000351,volcanic arc
00000352,continental arc
00000353,island arc
00000354,volcanic field
00000355,monogenetic volcanic field
00000356,pyroclastic cone
00000357,lock
00000358,protected area
00000359,natural monument
00000360,national forest
00000361,site of special scientific interest
00000362,marine park
00000363,nature reserve
00000364,national wildlife refuge
00000365,ramsar site
00000366,national nature reserve
00000367,national park
00000368,ephemeral island
00000369,brine pool
00000370,tuya
00000371,complex volcano
00000372,pyroclastic shield volcano
00000373,geothermal field
00000374,wildlife management area
00000375,world heritage site
00000376,biosphere reserve
00000377,artificial lake
00000378,canal head reservoir
00000380,ice shelf
00000381,massif
00000382,lake shore
00000383,stream bed
00000384,river bed
00000385,stream mouth
00000386,river mouth
00000387,intermittent lake
00000389,intermittent wetland
00000390,mountain spur
00000391,land bridge
00000392,ice tongue
00000393,sound
00000394,strait
00000395,channel
00000396,marine channel
00000397,lake channel
00000398,volcanic cone
00000399,ash cone
00000400,cinder cone
00000401,spatter cone
00000402,mud volcano
00000403,shield volcano
00000404,stratovolcano
00000406,mid-ocean ridge
00000407,subglacial volcano
00000408,volcanic fissure
00000409,whirlpool
00000410,kipuka
00000411,ford
00000412,tidal watercourse
00000413,pingo
00000414,natural arch
00000415,raised beach
00000416,coastal dune
00000417,machair
00000418,ria
00000419,stack
00000420,tombolo
00000421,wave-cut platform
00000422,limestone pavement
00000423,river island
00000424,lake island
00000426,ocean floor
00000427,meander
00000428,biome
00000429,arete
00000430,dirt cone
00000431,drumlin field
00000432,monadnock
00000433,kame terrace
00000434,outwash fan
00000435,proglacial lake
00000436,tunnel valley
00000437,Nye channel
00000438,alas
00000439,dell
00000440,rock shelter
00000441,terracette
00000442,maelstrom
00000443,flood control reservoir
00000444,clearing
00000445,transvasement
00000446,terrestrial biome
00000447,marine biome
00000448,hydroelectric reservoir
00000449,drinking water reservoir
00000450,irrigation reservoir
00000451,amenity lake
00000452,ribbon lake
00000453,liman
00000454,turlough
00000455,tarn
00000456,tidewater glacier
00000457,plateau glacier
00000458,valley glacier
00000459,outlet glacier
00000460,penplain
00000461,pseudocrater
00000462,polygenetic volcanic field
00000463,harbor
00000464,artificial harbor
00000465,natural harbor
00000467,university campus
00000468,hydroelectric dam
00000469,research facility
00000470,irrigation dam
00000471,flood control dam
00000472,backwater
00000473,gravel pit
00000474,cut
00000475,inlet
00000476,lake inlet
00000477,mount
00000478,range of mounts
00000479,mouth
00000480,peak
00000481,pinnacle
00000482,sea floor
00000483,plunge pool
00000484,polynya
00000485,sea shore
00000486,shoreline
00000487,paternoster lake
00000488,glacial lake
00000489,palsa
00000490,consequent stream
00000491,subsequent stream
00000492,resequent stream
00000493,obsequent stream
00000494,insequent stream
00000495,tributary
00000496,rill
00000497,rincon
00000498,volcanic dike
00000499,trough
00000500,beaver dam
00000501,bed
00000502,intermittent saline lake
00000503,intermittent oxbow lake
00000504,intermittent pond
00000505,underground irrigation canal
00000506,intermittent reservoir
00000507,wadi mouth
